Time,Position_x,Position_y,Metrics
1.0340001583099365,4,1,0.0
2.4433419704437256,5,1,0.0
4.569964170455933,6,1,0.0
6.592267036437988,7,1,0.0
8.786865949630737,8,1,0.0
10.828773021697998,9,1,0.0
11.018468141555786,9,0,0.0
13.029700994491577,10,0,0.0
15.112234115600586,11,0,0.0
17.25072717666626,12,0,0.0
19.47912096977234,13,0,0.0
21.661638021469116,14,0,0.0
22.698009967803955,14,-1,0.0
23.798582077026367,15,-1,0.0
47.74341702461243,15,0,0.0
51.81998109817505,15,1,0.0
53.085121154785156,14,1,0.0
53.73076510429382,14,2,0.0
55.81107211112976,14,3,0.0
57.977625131607056,14,4,0.0
60.01655411720276,14,5,0.0
62.107157945632935,14,6,0.0
64.1988890171051,14,7,0.0
66.29734206199646,14,8,0.0
68.29242205619812,15,8,0.0
68.39446496963501,15,9,0.0
71.74854302406311,15,10,0.0
74.70043706893921,15,11,0.0
76.59965109825134,14,11,0.0
76.82351398468018,14,12,0.0
79.75871706008911,14,13,0.0
81.99053502082825,14,14,0.0
84.01836109161377,14,15,0.0
87.25825500488281,14,16,0.0
89.3620810508728,14,17,0.0
91.36200499534607,14,18,0.0
93.49231100082397,14,19,0.0
95.5502200126648,14,20,0.0
98.45812010765076,14,21,0.0
100.54223203659058,14,22,0.0
102.7217869758606,14,23,0.0
105.50987815856934,14,24,0.0
107.5705361366272,14,25,0.0
110.18406796455383,14,26,0.0
112.26314496994019,14,27,0.0
114.1823501586914,13,27,0.0
115.42372608184814,13,28,0.0
117.58244299888611,13,29,0.0
119.6392719745636,13,30,0.0
121.68827700614929,13,31,0.0
124.88557410240173,13,32,0.0
126.92300701141357,13,33,0.0
128.989333152771,13,34,0.0
131.19735717773438,13,35,0.0
133.28568410873413,13,36,0.0
136.6562819480896,13,37,0.0
138.6316339969635,13,38,0.0
138.839457988739,12,38,0.0
140.7095980644226,12,39,0.0
142.8014359474182,12,40,0.0
144.84439516067505,12,41,0.0
146.9403100013733,12,42,0.0
149.05165004730225,12,43,0.0
152.06417298316956,12,44,0.0
154.81760215759277,12,45,0.0
171.87094712257385,11,45,0.0
174.90731811523438,10,45,0.0
177.87354016304016,9,45,0.0
180.42305898666382,8,45,0.0
183.3985071182251,7,45,0.0
185.40826511383057,6,45,0.0
187.9078221321106,5,45,0.0
190.92782711982727,4,45,0.0
193.01722311973572,3,45,0.0
195.08461213111877,2,45,0.0
197.0611550807953,1,45,0.0
200.06730103492737,0,45,0.0003214399912394583
204.1885039806366,-1,45,0.0012123000342398882
207.36420106887817,-2,45,0.004187500104308128
208.8462290763855,-2,44,0.0031955998856574297
209.39922714233398,-3,44,0.010243000462651253
211.67266201972961,-4,44,0.030069999396800995
213.77889609336853,-5,44,0.08084499835968018
216.66465306282043,-6,44,0.199070006608963
218.69117403030396,-7,44,0.4489099979400635
221.69568014144897,-8,44,0.9271299839019775
223.67566108703613,-9,44,1.7537000179290771
225.67039895057678,-10,44,3.037899971008301
227.73104810714722,-11,44,4.8196001052856445
230.63200616836548,-12,44,7.002799987792969
232.6891851425171,-13,44,9.31879997253418
236.320955991745,-14,44,11.357000350952148
238.47082209587097,-15,44,12.675999641418457
241.23019814491272,-16,44,12.958000183105469
243.19403195381165,-17,44,12.130999565124512
246.1007010936737,-18,44,10.401000022888184
248.28840708732605,-19,44,8.167499542236328
266.78092908859253,-19,43,7.6296000480651855
269.9497230052948,-19,42,6.972099781036377
271.9338710308075,-19,41,6.232800006866455
275.193204164505,-19,40,5.450799942016602
277.20935916900635,-19,39,4.663300037384033
279.0982291698456,-18,39,5.559700012207031
279.2666289806366,-18,38,4.592100143432617
281.24898505210876,-18,37,3.710400104522705
283.3093640804291,-18,36,2.9328999519348145
286.22748017311096,-18,35,2.267899990081787
288.4810769557953,-18,34,1.715499997138977
290.57661414146423,-18,33,0.034008000046014786
293.5738091468811,-18,32,0.0234570000320673
295.7350890636444,-18,31,0.015828000381588936
297.6873140335083,-18,30,0.010448000393807888
299.89177203178406,-18,29,0.006746499799191952
302.0345640182495,-18,28,0.0
305.3062641620636,-18,27,0.0
307.4201819896698,-18,26,0.0
309.33694410324097,-18,25,0.0
312.3682191371918,-18,24,0.0
314.4623260498047,-18,23,0.0
315.44508695602417,-17,23,0.0
316.49996995925903,-17,22,0.0
318.56274008750916,-17,21,0.0
320.64455795288086,-17,20,0.0
323.5869221687317,-17,19,0.0
325.6040840148926,-17,18,0.0
327.7419900894165,-17,17,0.0
331.01716208457947,-17,16,0.0
333.102991104126,-17,15,0.0
335.1877200603485,-17,14,0.0
337.2561161518097,-17,13,0.0
339.28652596473694,-17,12,0.0
343.1353940963745,-17,11,0.0
345.2153079509735,-17,10,0.0
346.1006829738617,-16,10,0.0
347.39086413383484,-16,9,0.0
349.35862016677856,-16,8,0.0
351.5235450267792,-16,7,0.0
353.47924399375916,-16,6,0.0
355.6231451034546,-16,5,0.0
357.62829208374023,-16,4,0.0
359.78255915641785,-16,3,0.0
361.9450099468231,-16,2,0.0
365.30899000167847,-16,1,0.0
367.37238216400146,-16,0,0.0
