Time,Position+AF8-x,Position+AF8-y,Metrics
3.7048940659,1,0,0
6.7203788757,2,0,0
7.7085530758,2,+AC0-1,0
8.7254359722,3,+AC0-1,0
10.7093129158,4,+AC0-1,0
11.7137899399,4,+AC0-2,0
12.7079660892,5,+AC0-2,0
15.729747057,6,+AC0-3,0
17.7087039948,7,+AC0-3,0
19.7465689182,8,+AC0-4,0
22.7634890079,9,+AC0-5,0
24.7525479794,10,+AC0-5,0
26.7453999519,10,+AC0-6,0
27.7596349716,11,+AC0-6,0
29.8165249825,12,+AC0-7,0
32.8010280132,13,+AC0-8,0
35.7750070095,14,+AC0-9,0
37.7863910198,14,+AC0-10,0
38.7715408802,15,+AC0-10,0
40.7936198711,15,+AC0-11,0
41.7990570068,16,+AC0-11,0
68.8152980804,15,+AC0-10,0
70.8254740238,15,+AC0-9,0
72.851804018,15,+AC0-8,0
74.8559639454,15,+AC0-7,0
76.8715178967,15,+AC0-6,0
78.8894300461,15,+AC0-5,0
80.981826067,15,+AC0-4,0
83.0289719105,15,+AC0-3,0
85.049683094,15,+AC0-2,0
88.0061240196,15,+AC0-1,0
91.0476980209,15,0,0
95.031457901,15,1,0
97.0886790752,15,2,0
99.0524170399,15,3,0
101.0856459141,15,4,0
105.0629079342,15,5,0
108.0694820881,15,6,0
110.0626380444,15,7,0
113.0819869041,15,8,0
115.045799017,15,9,0
118.10750103,15,10,0
120.0752339363,15,11,0
122.110065937,15,12,0
125.184869051,14,13,0
127.2355868816,14,14,0
129.1642138958,14,15,0
132.1816899776,14,16,0
134.1831839085,14,17,0
137.2281439304,14,18,0
139.2184529305,14,19,0
142.2307069302,14,20,0
144.2032289505,14,21,0
146.2982270718,14,22,0
149.2408480644,14,23,0
151.2482750416,14,24,0.00078284
153.2658410072,14,25,0.0012447
156.3379170895,14,26,0.0019361
158.3456370831,14,27,0.0029460001
161.3108940125,13,28,0.0127609996
163.4145488739,13,29,0.0183390006
165.4366309643,13,30,0.0257820003
167.4804809093,13,31,0.0354579985
169.4970998764,13,32,0.0477060005
171.5751059055,13,33,0.0627890006
174.537940979,13,34,0.0808449984
176.6014690399,13,35,0.1018299982
179.6337740421,13,36,0.1254699975
181.6167850494,13,37,0.1512500048
183.6553330421,13,38,0.1783500016
186.6119110584,13,39,0.2057400048
188.6472539902,13,40,0.2321700007
190.6653170586,12,40,0.5281900167
191.6720159054,12,41,0.5754600167
193.6567409039,12,42,0.6133300066
212.8182840347,11,42,1.2446000576
214.8157179356,10,42,2.3131999969
218.826102972,9,42,3.9372999668
221.8391139507,8,42,6.1377000809
224.8666729927,7,42,8.7625999451
227.8760828972,6,42,11.4569997787
229.8894650936,5,42,13.720000267
231.9171540737,4,42,15.0469999313
233.9285740852,3,42,15.1129999161
235.9466280937,2,42,13.9020004272
237.9734339714,1,42,11.7119998932
239.935890913,0,42,9.0363998413
246.019646883,+AC0-1,42,6.3853998184
251.0680630207,+AC0-2,42,4.1322999001
254.0725538731,+AC0-3,42,2.4491999149
256.0721518993,+AC0-4,42,1.3294999599
259.0742580891,+AC0-5,42,0.6609200239
263.1147739887,+AC0-6,42,0.300909996
265.1053090096,+AC0-7,42,0.1254699975
267.1687819958,+AC0-8,42,0.0479159988
269.1289288998,+AC0-9,42,0.0167590007
272.1895439625,+AC0-10,42,0.0053678998
274.1928761005,+AC0-11,42,0.0015747
278.1753220558,+AC0-12,42,0.00042307
281.2261030674,+AC0-13,42,0
284.1818509102,+AC0-14,42,0
